full_description,Connector,Action,Description
The connector named rapid7 insightvm has an action named assets_search which can be used for following - Search Assets in Rapid7 InsightVM,rapid7 insightvm,assets_search,Search Assets in Rapid7 InsightVM
The connector named rapid7 insightvm has an action named create_report_for_report_generation which can be used for following - Creates a Report that can be used to call to Report Generation,rapid7 insightvm,create_report_for_report_generation,Creates a Report that can be used to call to Report Generation
The connector named rapid7 insightvm has an action named create_tag which can be used for following - Create a Tag,rapid7 insightvm,create_tag,Create a Tag
The connector named rapid7 insightvm has an action named get_affected_assets which can be used for following - Get the assets affected by the vulnerability.,rapid7 insightvm,get_affected_assets,Get the assets affected by the vulnerability.
The connector named rapid7 insightvm has an action named get_all_assets which can be used for following - Get all assets,rapid7 insightvm,get_all_assets,Get all assets
The connector named rapid7 insightvm has an action named get_asset_vulnerability which can be used for following - Retrieves all vulnerability findings on an asset. A finding may be invulnerable if all instances have exceptions applied.,rapid7 insightvm,get_asset_vulnerability,Retrieves all vulnerability findings on an asset. A finding may be invulnerable if all instances have exceptions applied.
The connector named rapid7 insightvm has an action named get_scan which can be used for following - Get scan,rapid7 insightvm,get_scan,Get scan
The connector named rapid7 insightvm has an action named get_solution which can be used for following - Returns the details for a solution that can remediate one or more vulnerabilities.,rapid7 insightvm,get_solution,Returns the details for a solution that can remediate one or more vulnerabilities.
The connector named rapid7 insightvm has an action named get_tag which can be used for following - Get a Tag by ID,rapid7 insightvm,get_tag,Get a Tag by ID
The connector named rapid7 insightvm has an action named get_tags which can be used for following - Get Tags without ID,rapid7 insightvm,get_tags,Get Tags without ID
The connector named rapid7 insightvm has an action named get_vulnerabilities which can be used for following - Get all vulnerabilities,rapid7 insightvm,get_vulnerabilities,Get all vulnerabilities
The connector named rapid7 insightvm has an action named get_vulnerabilities_solutions which can be used for following - Returns all solutions (across all platforms) that may be used to remediate this vulnerability.,rapid7 insightvm,get_vulnerabilities_solutions,Returns all solutions (across all platforms) that may be used to remediate this vulnerability.
The connector named rapid7 insightvm has an action named get_vulnerability which can be used for following - Retrieves all vulnerability findings on an asset. A finding may be invulnerable if all instances have exceptions applied.,rapid7 insightvm,get_vulnerability,Retrieves all vulnerability findings on an asset. A finding may be invulnerable if all instances have exceptions applied.
The connector named rapid7 insightvm has an action named report_download which can be used for following - Downloads a Report by ID and Instance ID,rapid7 insightvm,report_download,Downloads a Report by ID and Instance ID
The connector named rapid7 insightvm has an action named report_generation which can be used for following - Generates a configured report and returns the instance identifier of the report,rapid7 insightvm,report_generation,Generates a configured report and returns the instance identifier of the report
The connector named rapid7 insightvm has an action named start_scan which can be used for following - Start Scan on Rapid7 InsightVM,rapid7 insightvm,start_scan,Start Scan on Rapid7 InsightVM
The connector named rapid7 insightvm has an action named http_basic which can be used for following - Authenticates using username and password.,rapid7 insightvm,http_basic,Authenticates using username and password.
